Name,Price,Image
Ecuphar Advantage Pipetas Antipulgas Perros de 10-25 Kg - 4 Pipetas.,23.35 €/u,https://img2.petsonic.com/18196-large_default/bayer-advantage-pipetas-antipulgas-10-25-kg-para-perros.jpg
Ecuphar Advantage Pipetas Antipulgas Perros de +25 Kg - 4 Pipetas.,22.99 €/u,https://img2.petsonic.com/18194-large_default/bayer-advantage-pipetas-antipulgas-25-kg-para-perros.jpg
Ceva Duoflect Perros 2-10kg y Gatos de +5Kg - 3 Pipetas.,14.49 €/u,https://img1.petsonic.com/11485-large_default/duoflect-perros-2-10kg-y-gatos-de-5kg.jpg
Ceva Duoflect para Perro 10-20 kg - 3 Pipetas.,17.73 €/u,https://img1.petsonic.com/11486-large_default/duoflect-para-perro-10-20-kg.jpg
Ceva Duoflect para Perro 20-40 kg - 3 Pipetas.,19.79 €/u,https://img1.petsonic.com/11487-large_default/duoflect-para-perro-20-40-kg.jpg
Ceva Duoflect para Perro 40-60 kg - 3 Pipetas.,22.25 €/u,https://img3.petsonic.com/11488-large_default/duoflect-para-perro-40-60-kg.jpg
Vetoquinol Flevox para Perro de 2-10 kg - 1 Pipeta,3.84 €/u,https://img3.petsonic.com/15598-large_default/flevox-para-perro-de-2-10-kg.jpg
Vetoquinol Flevox para Perro de 2-10 kg - 4 Pipetas.,12.99 €/u,https://img3.petsonic.com/15598-large_default/flevox-para-perro-de-2-10-kg.jpg
Vetoquinol Flevox para Perro de 2-10 kg - 36 Pipetas,77.99 €/u,https://img3.petsonic.com/15598-large_default/flevox-para-perro-de-2-10-kg.jpg
Vetoquinol Flevox para Perro de 10-20 kg - 1 Pipeta,4.39 €/u,https://img1.petsonic.com/15599-large_default/flevox-para-perro-de-10-20-kg.jpg
Vetoquinol Flevox para Perro de 10-20 kg - 4 Pipetas.,14.99 €/u,https://img1.petsonic.com/15599-large_default/flevox-para-perro-de-10-20-kg.jpg
Vetoquinol Flevox para Perro de 10-20 kg - 36 Pipetas,84.99 €/u,https://img1.petsonic.com/15599-large_default/flevox-para-perro-de-10-20-kg.jpg
Vetoquinol Flevox para Perro 20-40 kg - 1 Pipeta,4.94 €/u,https://img2.petsonic.com/15601-large_default/flevox-para-perro-20-40-kg.jpg
Vetoquinol Flevox para Perro 20-40 kg - 4 Pipetas.,17.00 €/u,https://img2.petsonic.com/15601-large_default/flevox-para-perro-20-40-kg.jpg
Vetoquinol Flevox para Perro 20-40 kg - 36 Pipetas,120.99 €/u,https://img2.petsonic.com/15601-large_default/flevox-para-perro-20-40-kg.jpg
Vetoquinol Flevox para Perro 40-60 kg - 1 Pipeta,5.49 €/u,https://img1.petsonic.com/15602-large_default/flevox-para-perro-40-60-kg.jpg
Vetoquinol Flevox para Perro 40-60 kg - 4 Pipetas.,18.99 €/u,https://img1.petsonic.com/15602-large_default/flevox-para-perro-40-60-kg.jpg
Vetoquinol Flevox para Perro 40-60 kg - 36 Pipetas,112.99 €/u,https://img1.petsonic.com/15602-large_default/flevox-para-perro-40-60-kg.jpg
virbac Effipro perros 2-10 kg - 4 Pipetas.,13.99 €/u,https://img3.petsonic.com/11551-large_default/virbac-effipro-2-10-kg-pipetas-antiparasitarios-para-perros.jpg
virbac Effipro perros 10-20 kg - 4 Pipetas.,15.99 €/u,https://img1.petsonic.com/11552-large_default/virbac-effipro-10-20-kg-pipetas-antiparasitarias-para-perros.jpg
virbac Effipro perros 20-40 kg - 4 Pipetas.,19.99 €/u,https://img1.petsonic.com/11553-large_default/virbac-effipro-20-40-kg-pipetas-antiparasitarias-para-perros.jpg
virbac Effipro perros 40-60kg - 4 Pipetas.,21.99 €/u,https://img3.petsonic.com/11554-large_default/virbac-effipro-40-60-kg-pipetas-antiparasitarias-para-perros.jpg
Pfizer Eliminall para Perro de 2-10 kg - 3 Pipetas.,10.99 €/u,https://img3.petsonic.com/15603-large_default/pfizer-eliminall-para-perro-de-2-10-kg.jpg
Pfizer Eliminall para Perro 10-20 kg - 3 Pipetas.,14.78 €/u,https://img2.petsonic.com/15899-large_default/pfizer-eliminall-para-perro-10-20-kg.jpg
Pfizer Eliminall para Perro 20-40 kg - 3 Pipetas.,16.30 €/u,https://img1.petsonic.com/11799-large_default/pfizer-eliminall-para-perro-20-40-kg.jpg
Pfizer Eliminall para Perro + 40 kg - 3 Pipetas.,20.50 €/u,https://img1.petsonic.com/11800-large_default/pfizerr-eliminall-para-perro-40-kg.jpg
Stangest Pipetas Repelentes para Perro - 12 Unidades.,40.24 €/u,https://img3.petsonic.com/12551-large_default/pipetas-repelentes-para-perro.jpg
virbac Effipro Spray Antiparasitarios - 0.100 L,8.99 €/u,https://img2.petsonic.com/3925-large_default/virbac-effipro-spray-antiparasitario-para-perros.jpg
